entity,patterns
planofstudy-update,How do I update the BS to MS Plan of Study form?
post-exam,What do I do once I pass the CS Foundation Exam?
post-exam,"Once I pass the Computer Science foundation, what are the next steps?"
post-exam,What are the next steps after passing the CS Foundation Exam?
post-exam,What do I do once I pass the Computer Science FE exam?
post-exam,"Once I pass the CS Foundation Exam, what do I do?"
requirements,What are the requirements for the computer science major?
requirements,What classes do I need to take in the computer science major?
requirements,What classes do I need to complete the CS major?
requirements,What courses are part of the CS major?
requirements,What are the required courses in the computer science major?
requirements,What are the requirements for the information technology major?
requirements,What classes do I need to take in the information technology major?
requirements,What classes do I need to complete the IT major?
requirements,What courses are part of the IT major?
requirements,What are the required courses in the information technology major?
requirements,What are the requirements for the computer science minor?
requirements,What classes do I need to take in the computer science minor?
requirements,What classes do I need to complete the CS minor?
requirements,What courses are part of the CS minor?
requirements,What are the required courses in the computer science minor?
requirements,What are the requirements for the information technology minor?
requirements,What classes do I need to take in the information technology minor?
requirements,What classes do I need to complete the IT minor?
requirements,What courses are part of the IT minor?
requirements,What are the required courses in the information technology minor?
sign-up,How do I sign up for the Accelerated BS-to-MS Program?
sign-up,How do I enroll in the BS-to-MS program?
sign-up,How do I sign up for the BS MS program?
sign-up,How do I get into the 5 Year BS-to-MS accelerated program?
sign-up,How do I sign up for the BS to MS accelerated program?
sign-up,How do I sign up for the CS Foundation Exam?
sign-up,How do I enroll in the CS Foundation Exam?
sign-up,What is the process to sign up for the Computer Science FE exam?
sign-up,What is the process to sign up for the Computer Science Foundation Exam?
sign-up,What do I have to do to sign up for the CS Foundation Exam?
sign-up,How do I sign up for a computer science minor?
sign-up,How do I enroll in the CS minor?
sign-up,What is the process to sign up to have a computer science minor?
sign-up,What is the process to sign up for the CS minor?
sign-up,What do I have to do to sign up for a computer science minor?
sign-up,How do I sign up for an information technology minor?
sign-up,How do I enroll in the IT minor?
sign-up,What is the process to sign up to have a information technology minor?
sign-up,What is the process to sign up for the IT minor?
sign-up,What do I have to do to sign up for a information technology minor?
sign-up,How do I sign up to take a transient course?
sign-up,How do I enroll in transient classes?
sign-up,I want to take a transiet class?
sign-up,How do I take a course with another university?
sign-up,How do I know if a transient course meets my degree requirements?
what-is,What is the Department of Computer Science?
what-is,What is the Department of CS?
what-is,What is the CS Department?
what-is,What is the Computer Science Department?
what-is,What is the CS Dept.?
what-is,What is the Accelerated BS-to-MS Program?
what-is,What is the BS-to-MS program?
what-is,What is the BS-MS program?
what-is,What is the BS to MS Accelerated Program?
what-is,What is the 5 Year BS to MS program?
what-is,What is the CS Foundation Exam?
what-is,What is the Computer Science Foundation Exam?
what-is,What is the Foundation Exam in the CS major?
what-is,What is the FE for Computer Science students?
what-is,What is the Computer Science FE?
what-is,What is the computer science major?
what-is,What is the CS major?
what-is,What does the CS major entail?
what-is,What does the computer science minor major?
what-is,Is there a computer science major?
what-is,What is the information technology major?
what-is,What is the IT major?
what-is,What does the IT major entail?
what-is,What does the information technology minor major?
what-is,Is there an information technology major?
what-is,What is the computer science minor?
what-is,What is the CS minor?
what-is,What does the CS minor entail?
what-is,What does the computer science minor entail?
what-is,Is there a computer science minor?
what-is,What is the information technology minor?
what-is,How many classes make up an IT minor?
what-is,How many credits do I need to have an information technology minor?
what-is,What is the number of credit hours in the IT minor?
what-is,How many courses does it take to get a minor in information technology?
where-is,Where is the CS Undergraduate Acadamic Advising Office?
where-is,Where is the Computer Science Advising Office?
where-is,Where is the CS office of advising?
where-is,Where can I find the CS Advising Office?
where-is,Where do I find the Computer Science Undergraduate Academic Advising Office?
who-is,Who is my undergraduate advisor?
who-is,Who is my advisor?
who-is,I don't know who my advisor is.
who-is,I don't know who my undergraduate advisor is.
who-is,How do I know who my advisor is?
